address,polling_place,house_num_low,house_num_high,district
New Rd,West Woods School,500,999999,9
Newbury St,Board Of Education Building,1,999999,5
Newcastle Dr,Dunbar Hill School,1,999999,7
Newhall St,Keefe Community Center,400,999998,3
Newhall St,Board Of Education Building,399,615,5
Newhall St,Board Of Education Building,617,643,5
Newhall St,Board Of Education Building,645,999999,5
Newton St,Booker T Washington Academy,1,999999,2
Nicholas Ct,West Woods School,1,999999,9
Nista Dr,Miller Library,1,999999,1
Noble Ct,Booker T Washington Academy,1,999999,2
Noble St,Booker T Washington Academy,1,999999,2
Nolan Rd,Bear Path School,1,999999,8
Norman Rd,Dunbar Hill School,1,999999,7
Norris St,Spring Glen School,1,999999,4
North St,Keefe Community Center,1,999999,3
Norton Ave,Dunbar Hill School,1,999999,7
Norwood Ave,Miller Library,1,999999,1
Notkins St,Keefe Community Center,1,999999,3
Nutmeg Hill Rd,Miller Library,1,999999,1
Oak Ridge Dr,Spring Glen School,1,999999,4
Oakwood Ln,West Woods School,1,999999,9
Oberlin Rd,Booker T Washington Academy,1,240,2
Oberlin Rd,Keefe Community Center,241,999999,3
October Hill Rd,West Woods School,1,999999,9
Old Chauncey Rd,Dunbar Hill School,1,999999,7
Old Coach Hwy,Bear Path School,1,999999,8
Old Dixwell Ave,Spring Glen School,1,999999,4
Old Farm Rd,Ridge Hill School,1,999999,6
Old Hill Rd,West Woods School,1,999999,9
Old Lane Rd,West Woods School,1,219,9
Old Lane Rd,West Woods School,221,999999,9
Old Pasture Rd,West Woods School,1,999999,9
Olds St,Ridge Hill School,1,999999,6
Orchard Ct,Ridge Hill School,1,999999,6
Orchard Heights Dr,Dunbar Hill School,1,999999,7
Orchard Street,Miller Library,81,999999,1
Oregon Ave,Booker T Washington Academy,1,999999,2
Orpington St,Board Of Education Building,1,999999,5
Overlook Dr,Miller Library,1,999999,1
Oxford Rd,Bear Path School,1,999999,8
Pacific St,Board Of Education Building,1,999999,5
Palmer Ave,Dunbar Hill School,1,999999,7
Paradise Ave,Dunbar Hill School,1,584,7
Paradise Ave,Bear Path School,732,1796,8
Paradise Ave,West Woods School,1930,999999,9
Paradise Ave,Dunbar Hill School,586,730,7
Paradise Ave,Bear Path School,585,731,8
Paramount Ave,Board Of Education Building,1,999999,5
Park Ave,Spring Glen School,1,999999,4
Park Rd,Ridge Hill School,1,999999,6
Parkview Rd,Booker T Washington Academy,1,999999,2
Parmalee Dr,Dunbar Hill School,1,999999,7
Partridge Xing,Dunbar Hill School,1,999999,7
Patterson Rd,Miller Library,1,999999,1
Pearl Ave,Booker T Washington Academy,1,999999,2
Pease Rd,Keefe Community Center,1,999999,3
Peck Ln,West Woods School,1,999999,9
Pelham Ave,Miller Library,1,999999,1
Pembroke Rd,Dunbar Hill School,1,999999,7
Penn St,Dunbar Hill School,1,999999,7
Perry Rd,Dunbar Hill School,1,999999,7
Pheasant Ln,West Woods School,1,999999,9
Phelps Dr,Bear Path School,2,999998,8
Phelps Dr,Bear Path School,1,999999,8
Pickwick Rd,Ridge Hill School,1,999999,6
Pine Rock Ave,Keefe Community Center,100,459,3
Pine Rock Ave,Booker T Washington Academy,460,630,2
